package,in_degree,betweenness,eigenvector,kcore,predicted_risk
aiosignal,2,0.0,0.008023908932368916,2,0.011157928830886767
frozenlist,2,0.0,0.008023908932368916,2,0.011157928830886767
threadpoolctl,2,3.632799101496503e-05,0.007988739696426262,2,0.01115481747156781
nox,2,3.1963813423922015e-05,0.007984720391076151,2,0.011151481322003396
ldap3,2,0.0001139402623556381,0.007893675708916846,2,0.01113920297215781
flask-limiter,2,0.00018517955036244352,0.00783646887306129,2,0.01113839364682519
scikit-image,2,1.1269766333319457e-05,0.007922218845918486,2,0.011116112710200736
pooch,2,1.1269766333319457e-05,0.007922218845918486,2,0.011116112710200736
aiohttp_cors,2,7.677054385134701e-05,0.007793011479555878,2,0.011080894667468873
sphinxcontrib-towncrier,2,0.0,0.007817458688560723,2,0.01106502622117308
annotated-types,2,0.0,0.0077859499066565835,2,0.011050847269316218
pytest-forked,2,8.854640840376494e-05,0.007687607690751265,2,0.011037584515100143
huggingface_hub,2,9.852952545574182e-05,0.00766063201103934,2,0.011028939550197969
structlog,2,0.00010322812367803833,0.007492384982765702,2,0.010954872896852635
altair,2,1.6503358029007233e-05,0.007507039170022465,2,0.010931113613141016
dateparser,2,0.00014104840865304666,0.0073740432081680785,2,0.010914856198024956
bump2version,2,1.5279249234171892e-05,0.007370300812762827,2,0.010869152914295988
webob,0,0.0018250453248164925,0.022722678632776588,5,0.010863971248435236
eventlet,1,0.0015401554938478058,0.014554974864210242,6,0.010862378017401718
griffe,2,0.00013041837774723175,0.007178252150391446,2,0.010823029711208437
apache-airflow-providers-fab,1,0.010480127301471388,0.007485528594955329,5,0.010810117328905262
mkdocs,2,3.951663681101343e-05,0.00714972986886951,2,0.010778379075195889
mkdocs-material,2,3.951663681101343e-05,0.00714972986886951,2,0.010778379075195889
mkdocstrings,2,3.951663681101343e-05,0.00714972986886951,2,0.010778379075195889
jupyter,2,3.951663681101343e-05,0.00714972986886951,2,0.010778379075195889
mkdocs-material-extensions,2,3.951663681101343e-05,0.00714972986886951,2,0.010778379075195889
skops,0,0.0013445606118036519,0.02262295084336359,5,0.010650924093644895
imagehash,2,1.608189546256039e-05,0.006851281369061604,2,0.010635875090810373
nbconvert,2,0.0,0.006849404416026368,2,0.01062940179853262
pytest-jupyter,2,0.0,0.006849404416026368,2,0.01062940179853262
lightgbm,0,0.0001385971815092012,0.02344000537397821,5,0.010596511431818416
rq,2,0.0,0.006744418615295468,2,0.010582158188203714
wrapt,2,2.0520734333204324e-05,0.006702516526002585,2,0.01057048450503854
python-slugify,2,0.00011892904232370419,0.006611738343558177,2,0.010564077230735231
s3fs,2,5.7004967456986876e-05,0.006640593793956581,2,0.010555388757211162
pydantic-extra-types,2,5.0561413468793816e-05,0.006421804597093319,2,0.010454678374726826
pytest-sugar,2,1.470255363274525e-05,0.00641821071851293,2,0.010440510528423035
aiodns,2,0.0,0.006378585011393937,2,0.010417533066448027
audioop-lts,2,2.684243932405627e-05,0.006354574044040515,2,0.010416122984902406
jupyterlab-server,2,0.0,0.006325085142852624,2,0.010393458125604436
notebook-shim,2,0.0,0.006325085142852624,2,0.010393458125604436
pytest-tornasync,2,0.0,0.006325085142852624,2,0.010393458125604436
markdown2,2,0.00013413502812680144,0.006123868635848952,2,0.010349857957297164
typing-inspection,2,0.0,0.0060439230845646605,2,0.010266935199374851
huey,2,5.100244362548013e-05,0.0059756959096144875,2,0.010254083825916192
portalocker,2,1.0523013107048787e-05,0.005814470181070302,2,0.010167364447389858
jaraco.test,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
jaraco.packaging,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
sphinx-lint,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
rst.linker,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
pytest-ruff,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
jaraco.functools,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
pytest-checkdocs,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
pytest-mypy,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
pytest-enabler,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
jaraco.tidelift,2,1.1870446939870824e-05,0.005710059948282591,2,0.010120851444476876
posthog,2,2.5142497521967354e-05,0.005555035035149809,2,0.010055735451270857
google-auth,2,2.5142497521967354e-05,0.005555035035149809,2,0.010055735451270857
cadwyn,0,0.0014921649007707382,0.021093071119980027,6,0.01001413971926077
lz4,2,0.00016228483528547282,0.005325659192407993,2,0.010000516140254267
distro,2,1.9315595229109793e-05,0.005259378412748685,2,0.009920650555387852
signxml,0,0.0015014247132412698,0.020786985842469564,7,0.009879642278745748
sphinxemoji,2,3.5566375810910337e-05,0.005109728241678494,2,0.009858995751609895
ormsgpack,2,0.00014874470261487814,0.004983812099088888,2,0.009841945901825962
opt-einsum,2,5.136269153018549e-06,0.005057863125987509,2,0.00982500591221869
cssselect,2,8.297795452689447e-05,0.0049640541239381174,2,0.00981003645117732
optree,2,3.177923387455568e-05,0.004922978961869343,2,0.009773633076018053
jsonpatch,2,3.164194440247101e-05,0.004836009227280807,2,0.009734448644137982
flask-talisman,2,0.00010125179718157848,0.004722492881424362,2,0.00970772973697527
more-itertools,2,2.350530750614097e-05,0.004659475795710044,2,0.009652160777017424
sanic,2,1.6556510403650024e-05,0.0045768092397526355,2,0.009612528747850718
chalice,2,1.6556510403650024e-05,0.0045768092397526355,2,0.009612528747850718
eval-type-backport,2,2.1659441604020825e-05,0.004460287849245948,2,0.009561880148042838
httpx-sse,2,3.8509150665178455e-06,0.0044376244201192495,2,0.009545448620647698
apache-airflow-providers-cncf-kubernetes,1,0.005642507242005947,0.008221079634947576,4,0.009447948276088868
trio,2,1.0525057675702181e-05,0.004151049320837146,2,0.009418825775883967
sphinxcontrib-github-alt,2,0.0,0.004064512571768291,2,0.009376200468616485
pycryptodome,2,1.39600169360874e-05,0.0039014827444981397,2,0.009307723052272548
python-openstackclient,0,0.010814013194339257,0.012163112141001799,2,0.00925830508146955
snowflake-snowpark-python,2,9.868292774660494e-06,0.003560296474340922,2,0.0091527571272453
langgraph,2,0.0,0.0035380682093603963,2,0.009139300505532933
websocket-client,2,2.2137543666294382e-05,0.0032743550920642695,2,0.009028377743032879
appdirs,2,4.847926974582171e-05,0.0031662410530665843,2,0.008988946029611755
mysqlclient,2,0.0003248695087263159,0.0029449576115749086,2,0.008986105064583675
hypercorn,2,1.0920836078263897e-05,0.0031448674213881062,2,0.008966182443572794
funcy,2,1.3020760566426849e-05,0.003135015432420096,2,0.008962484022108048
hypothesis,2,5.1612482242400275e-05,0.003014634825212501,2,0.00892181985145122
langchain-google-vertexai,2,0.0,0.0030032055813164447,2,0.008898612322913155
langchain-mistralai,2,0.0,0.0030032055813164447,2,0.008898612322913155
langchain-aws,2,0.0,0.0030032055813164447,2,0.008898612322913155
aioquic,2,2.56112329733454e-05,0.00296556234016257,2,0.008890636795934583
wsproto,2,4.8438224341090734e-05,0.002467555214004452,2,0.00867452303614214
pyperclip,2,5.42709615423708e-05,0.0024624258502890808,2,0.00867425628049067
plumbum,2,0.0012886371343523528,0.001499858275215665,1,0.008673129032191128
autopep8,2,2.13031226012805e-05,0.0024328485985429258,2,0.00864940777357552
types-pymysql,1,0.0,0.010829849009910505,1,0.008647016960120105
hatch-vcs,1,0.0,0.010829849009910505,1,0.008647016960120105
bigtree,1,0.0,0.010829849009910505,1,0.008647016960120105
minio,1,0.0,0.010829849009910505,1,0.008647016960120105
testcontainers,1,0.0,0.010829849009910505,1,0.008647016960120105
cassandra-driver,1,0.0,0.010829849009910505,1,0.008647016960120105
codeflare-sdk,1,0.0,0.010829849009910505,1,0.008647016960120105
aiobotocore,1,0.0,0.010829849009910505,1,0.008647016960120105
grpcio-testing,1,0.0,0.010829849009910505,1,0.008647016960120105
types-redis,1,0.0,0.010829849009910505,1,0.008647016960120105
mmh3,1,0.0,0.010829849009910505,1,0.008647016960120105
pytest-lazy-fixture,1,0.0,0.010829849009910505,1,0.008647016960120105
calver,1,0.0,0.010829849009910505,1,0.008647016960120105
poetry-core,1,0.0,0.010829849009910505,1,0.008647016960120105
google-cloud-bigtable,1,0.0,0.010829849009910505,1,0.008647016960120105
meson,1,0.0,0.010829849009910505,1,0.008647016960120105
poetry-dynamic-versioning,1,0.0,0.010829849009910505,1,0.008647016960120105
hatch-fancy-pypi-readme,1,0.0,0.010829849009910505,1,0.008647016960120105
py,1,0.0,0.010829849009910505,1,0.008647016960120105
pymssql,1,0.0,0.010829849009910505,1,0.008647016960120105
couchbase-columnar,1,0.0,0.010829849009910505,1,0.008647016960120105
pybindgen,1,0.0,0.010829849009910505,1,0.008647016960120105
assertpy,1,0.0,0.010829849009910505,1,0.008647016960120105
singlestoredb,1,0.0,0.010829849009910505,1,0.008647016960120105
fastapi_mcp,1,0.0,0.010829849009910505,1,0.008647016960120105
milvus-lite,1,0.0,0.010829849009910505,1,0.008647016960120105
ikvpy,1,0.0,0.010829849009910505,1,0.008647016960120105
python-keycloak,1,0.0,0.010829849009910505,1,0.008647016960120105
great_expectations,1,0.0,0.010829849009910505,1,0.008647016960120105
patchelf,1,0.0,0.010829849009910505,1,0.008647016960120105
google-cloud-datastore,1,0.0,0.010829849009910505,1,0.008647016960120105
ibis-substrait,1,0.0,0.010829849009910505,1,0.008647016960120105
hazelcast-python-client,1,0.0,0.010829849009910505,1,0.008647016960120105
happybase,1,0.0,0.010829849009910505,1,0.008647016960120105
types-protobuf,1,0.0,0.010829849009910505,1,0.008647016960120105
types_psutil,1,0.0,0.010829849009910505,1,0.008647016960120105
hiredis,1,0.0,0.010829849009910505,1,0.008647016960120105
flit_core,1,0.0,0.010829849009910505,1,0.008647016960120105
docling,1,0.0,0.010829849009910505,1,0.008647016960120105
uvicorn-worker,1,0.0,0.010829849009910505,1,0.008647016960120105
scikit-build-core,1,0.0,0.010829849009910505,1,0.008647016960120105
pytest-ordering,1,0.0,0.010829849009910505,1,0.008647016960120105
num2words,1,0.0012886371343523533,0.009698283772639791,1,0.008588835600371606
pylons-sphinx-themes,2,1.8907386495525002e-06,0.0022203172965717796,2,0.0085469743533054
zope-interface,2,0.0,0.0021951416559225206,2,0.00853498355648589
stevedore,2,7.979672087870472e-05,0.0015987101989450524,2,0.008294518253153575
scramp,2,6.399033036813029e-05,0.0015913792858405975,2,0.00828568710557787
