package,in_degree,betweenness,eigenvector,kcore
apache-airflow-providers-microsoft-psrp,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-kylin,1,0.0,0.000684368106803418,1
apache-airflow-providers-google,1,0.0,0.000684368106803418,1
apache-airflow-providers-qdrant,1,0.0,0.000684368106803418,1
apache-airflow-providers-samba,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-livy,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-beam,1,0.0,0.000684368106803418,1
apache-airflow-providers-teradata,1,0.0,0.000684368106803418,1
apache-airflow-providers-common-sql,3,0.004313494514195874,0.007986570745263048,5
apache-airflow-providers-common-compat,5,0.00013311089717961,0.002028900627644846,4
apache-airflow-providers-ssh,1,0.0,0.000684368106803418,1
apache-airflow-providers-apprise,1,0.0,0.000684368106803418,1
apache-airflow-providers-celery,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-cassandra,1,0.0,0.000684368106803418,1
apache-airflow-providers-trino,2,0.0,0.0007785591231225986,2
apache-airflow-providers-apache-drill,1,0.0,0.000684368106803418,1
apache-airflow-providers-dbt-cloud,1,0.0,0.000684368106803418,1
apache-airflow-providers-standard,1,0.0,0.000684368106803418,1
apache-airflow-task-sdk,1,0.0,0.000684368106803418,1
apache-airflow-providers-pagerduty,1,0.0,0.000684368106803418,1
apache-airflow-providers-cncf-kubernetes,1,0.005642507242005947,0.008221079634947576,4
apache-airflow-providers-postgres,1,0.0,0.000684368106803418,1
apache-airflow-providers-odbc,1,0.0,0.000684368106803418,1
apache-airflow-providers-atlassian-jira,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-iceberg,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-spark,1,0.0,0.000684368106803418,1
apache-airflow-providers-elasticsearch,1,0.0,0.000684368106803418,1
apache-airflow-providers-openfaas,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-druid,1,0.0,0.000684368106803418,1
apache-airflow-providers-openai,1,0.0,0.000684368106803418,1
apache-airflow-providers-salesforce,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-impala,1,0.0,0.000684368106803418,1
apache-airflow-providers-grpc,1,0.0,0.000684368106803418,1
apache-airflow-providers-common-messaging,1,0.0,0.000684368106803418,1
apache-airflow-providers-presto,2,0.0,0.0007785591231225986,2
apache-airflow-providers-jenkins,1,0.0,0.000684368106803418,1
apache-airflow-providers-apache-pig,1,0.0,0.000684368106803418,1
apache-airflow-providers-mongo,1,0.0024537525655841967,0.004999961657766405,3
