package,score,betweenness,granger_out,prop_out,avg_lag_months,indegree,persistence_months
httpx-sse,0.003125,0.0,0,0,,2,0
hydra-core,0.003125,0.0,0,0,,2,0
orderly-set,0.003125,0.0,0,0,,2,0
pydub,0.003125,0.0,0,0,,2,0
llama-index-embeddings-openai,0.003125,0.0,0,0,,2,0
ftfy,0.003125,0.0,0,0,,2,0
opt-einsum,0.003125,0.0,0,0,,2,0
kubernetes,0.003125,0.0,0,0,,2,0
lightning-utilities,0.003125,0.0,0,0,,2,0
cachetools,0.003125,0.0,0,0,,2,0
dask,0.003125,0.0,0,0,,2,0
pyparsing,0.003125,0.0,0,0,,2,0
sphinxext-opengraph,0.003125,0.0,0,0,,2,0
compressed-tensors,0.003125,0.0,0,0,,2,0
optree,0.003125,0.0,0,0,,2,0
jsonargparse,0.003125,0.0,0,0,,2,0
redisvl,0.003125,0.0,0,0,,2,0
pooch,0.003125,0.0,0,0,,2,0
langchain-google-vertexai,0.003125,0.0,0,0,,2,0
apache-airflow-providers-amazon,0.003125,0.0,0,0,,2,0
langchain-aws,0.003125,0.0,0,0,,2,0
six,0.003125,0.0,0,0,,2,0
apscheduler,0.003125,0.0,0,0,,2,0
graphene,0.003125,0.0,0,0,,2,0
aiosqlite,0.003125,0.0,0,0,,2,0
pybase64,0.003125,0.0,0,0,,2,0
diskcache,0.003125,0.0,0,0,,2,0
opentelemetry-proto,0.003125,0.0,0,0,,2,0
schema,0.003125,0.0,0,0,,2,0
torchmetrics,0.003125,0.0,0,0,,2,0
faiss-cpu,0.003125,0.0,0,0,,2,0
tomlkit,0.003125,0.0,0,0,,2,0
timeout-decorator,0.003125,0.0,0,0,,2,0
onnxscript,0.003125,0.0,0,0,,2,0
sacremoses,0.003125,0.0,0,0,,2,0
langchain-mistralai,0.003125,0.0,0,0,,2,0
mypy-extensions,0.003125,0.0,0,0,,2,0
pytest-random-order,0.003125,0.0,0,0,,2,0
bitsandbytes,0.003125,0.0,0,0,,2,0
tox,0.003125,0.0,0,0,,2,0
py-cpuinfo,0.003125,0.0,0,0,,2,0
seaborn,0.003125,0.0,0,0,,2,0
wrapt,0.003125,0.0,0,0,,2,0
llama-index-llms-openai,0.003125,0.0,0,0,,2,0
gguf,0.003125,0.0,0,0,,2,0
plotly,0.003125,0.0,0,0,,2,0
llguidance,0.003125,0.0,0,0,,2,0
audioop-lts,0.003125,0.0,0,0,,2,0
memory_profiler,0.003125,0.0,0,0,,2,0
xgboost,0.003125,0.0,0,0,,2,0
lark,0.003125,0.0,0,0,,2,0
watchdog,0.003125,0.0,0,0,,2,0
meson-python,0.003125,0.0,0,0,,2,0
rq,0.003125,0.0,0,0,,2,0
joblib,0.003125,0.0,0,0,,2,0
librosa,0.003125,0.0,0,0,,2,0
jsonpickle,0.003125,0.0,0,0,,2,0
scikit-image,0.003125,0.0,0,0,,2,0
openai-harmony,0.003125,0.0,0,0,,2,0
cbor2,0.003044,0.0,0,0,,1,4
nbformat,0.001563,0.0,0,0,,1,0
langchain-together,0.001563,0.0,0,0,,1,0
langchain-model-profiles,0.001563,0.0,0,0,,1,0
pyctcdecode,0.001563,0.0,0,0,,1,0
tensorflow-probability,0.001563,0.0,0,0,,1,0
rouge-score,0.001563,0.0,0,0,,1,0
check-manifest,0.001563,0.0,0,0,,1,0
defusedxml,0.001563,0.0,0,0,,1,0
streamlit-pdf,0.001563,0.0,0,0,,1,0
azure-storage-file-datalake,0.001563,0.0,0,0,,1,0
sagemaker-core,0.001563,0.0,0,0,,1,0
mlflow-tracing,0.001563,0.0,0,0,,1,0
prometheus-flask-exporter,0.001563,0.0,0,0,,1,0
dirtyjson,0.001563,0.0,0,0,,1,0
ipadic,0.001563,0.0,0,0,,1,0
python-json-logger,0.001563,0.0,0,0,,1,0
llama-index-indices-managed-llama-cloud,0.001563,0.0,0,0,,1,0
groovy,0.001563,0.0,0,0,,1,0
google-cloud-iam,0.001563,0.0,0,0,,1,0
fugashi,0.001563,0.0,0,0,,1,0
typing-inspect,0.001563,0.0,0,0,,1,0
langchain-anthropic,0.001563,0.0,0,0,,1,0
nvidia-cufile-cu12,0.001563,0.0,0,0,,1,0
lexicon,0.001563,0.0,0,0,,1,0
tf2onnx,0.001563,0.0,0,0,,1,0
snowflake-snowpark-python,0.001563,0.0,0,0,,1,0
mlserver-mlflow,0.001563,0.0,0,0,,1,0
litellm-proxy-extras,0.001563,0.0,0,0,,1,0
sagemaker-feature-store-pyspark-3-3,0.001563,0.0,0,0,,1,0
parameterized,0.001563,0.0,0,0,,1,0
mlflow-dbstore,0.001563,0.0,0,0,,1,0
nvidia-cusparse-cu12,0.001563,0.0,0,0,,1,0
codecarbon,0.001563,0.0,0,0,,1,0
pysftp,0.001563,0.0,0,0,,1,0
nvidia-nccl-cu12,0.001563,0.0,0,0,,1,0
slowapi,0.001563,0.0,0,0,,1,0
sudachipy,0.001563,0.0,0,0,,1,0
sphinx-remove-toctrees,0.001563,0.0,0,0,,1,0
langchain-groq,0.001563,0.0,0,0,,1,0
evaluate,0.001563,0.0,0,0,,1,0
langchain-deepseek,0.001563,0.0,0,0,,1,0
fastapi-sso,0.001563,0.0,0,0,,1,0
jsonpatch,0.001563,0.0,0,0,,1,0
mypy-boto3-appflow,0.001563,0.0,0,0,,1,0
llama-index-cli,0.001563,0.0,0,0,,1,0
unidic,0.001563,0.0,0,0,,1,0
onnxruntime-tools,0.001563,0.0,0,0,,1,0
sacrebleu,0.001563,0.0,0,0,,1,0
sigopt,0.001563,0.0,0,0,,1,0
tritonclient,0.001563,0.0,0,0,,1,0
opentelemetry-api,0.001563,0.0,0,0,,1,0
jax,0.001563,0.0,0,0,,1,0
nvidia-nvshmem-cu12,0.001563,0.0,0,0,,1,0
arro3-compute,0.001563,0.0,0,0,,1,0
tensorflow-text,0.001563,0.0,0,0,,1,0
prometheus-fastapi-instrumentator,0.001563,0.0,0,0,,1,0
pydeck,0.001563,0.0,0,0,,1,0
mypy-boto3-redshift-data,0.001563,0.0,0,0,,1,0
mypy-boto3-rds,0.001563,0.0,0,0,,1,0
stopit,0.001563,0.0,0,0,,1,0
altair,0.001563,0.0,0,0,,1,0
olefile,0.001563,0.0,0,0,,1,0
pyroma,0.001563,0.0,0,0,,1,0
nvidia-cuda-runtime-cu12,0.001563,0.0,0,0,,1,0
azureml-core,0.001563,0.0,0,0,,1,0
h5py,0.001563,0.0,0,0,,1,0
cookiecutter,0.001563,0.0,0,0,,1,0
nvidia-cuda-cupti-cu12,0.001563,0.0,0,0,,1,0
nvidia-cudnn-cu12,0.001563,0.0,0,0,,1,0
conda-lock,0.001563,0.0,0,0,,1,0
awslogs,0.001563,0.0,0,0,,1,0
sphinx-prompt,0.001563,0.0,0,0,,1,0
absl-py,0.001563,0.0,0,0,,1,0
langchain-perplexity,0.001563,0.0,0,0,,1,0
sagemaker-mlflow,0.001563,0.0,0,0,,1,0
prisma,0.001563,0.0,0,0,,1,0
blake3,0.001563,0.0,0,0,,1,0
pytest-order,0.001563,0.0,0,0,,1,0
requests-auth-aws-sigv4,0.001563,0.0,0,0,,1,0
eval-type-backport,0.001563,0.0,0,0,,1,0
nvidia-nvjitlink-cu12,0.001563,0.0,0,0,,1,0
onnxconverter-common,0.001563,0.0,0,0,,1,0
sagemaker-schema-inference-artifacts,0.001563,0.0,0,0,,1,0
rjieba,0.001563,0.0,0,0,,1,0
langchain-ollama,0.001563,0.0,0,0,,1,0
mistral_common,0.001563,0.0,0,0,,1,0
depyf,0.001563,0.0,0,0,,1,0
wandb,0.001563,0.0,0,0,,1,0
trove-classifiers,0.001563,0.0,0,0,,1,0
sphinx-autobuild,0.001563,0.0,0,0,,1,0
partial-json-parser,0.001563,0.0,0,0,,1,0
nvidia-cufft-cu12,0.001563,0.0,0,0,,1,0
arro3-core,0.001563,0.0,0,0,,1,0
pathos,0.001563,0.0,0,0,,1,0
fastuuid,0.001563,0.0,0,0,,1,0
safehttpx,0.001563,0.0,0,0,,1,0
optax,0.001563,0.0,0,0,,1,0
llama-index-workflows,0.001563,0.0,0,0,,1,0
graphviz,0.001563,0.0,0,0,,1,0
langchain-classic,0.001563,0.0,0,0,,1,0
sudachidict_core,0.001563,0.0,0,0,,1,0
av,0.001563,0.0,0,0,,1,0
flashinfer-python,0.001563,0.0,0,0,,1,0
optuna,0.001563,0.0,0,0,,1,0
flask-limiter,0.001563,0.0,0,0,,1,0
numba,0.001563,0.0,0,0,,1,0
mypy-boto3-s3,0.001563,0.0,0,0,,1,0
kernels,0.001563,0.0,0,0,,1,0
google-pasta,0.001563,0.0,0,0,,1,0
langchain-google-genai,0.001563,0.0,0,0,,1,0
langchain-fireworks,0.001563,0.0,0,0,,1,0
nvidia-cuda-nvrtc-cu12,0.001563,0.0,0,0,,1,0
resend,0.001563,0.0,0,0,,1,0
gradio-client,0.001563,0.0,0,0,,1,0
llama-index-readers-llama-parse,0.001563,0.0,0,0,,1,0
mlflow-skinny,0.001563,0.0,0,0,,1,0
optimum-benchmark,0.001563,0.0,0,0,,1,0
unidic_lite,0.001563,0.0,0,0,,1,0
pyvis,0.001563,0.0,0,0,,1,0
contextlib2,0.001563,0.0,0,0,,1,0
sphinx-gallery,0.001563,0.0,0,0,,1,0
databricks-agents,0.001563,0.0,0,0,,1,0
natten,0.001563,0.0,0,0,,1,0
keras-nlp,0.001563,0.0,0,0,,1,0
tblib,0.001563,0.0,0,0,,1,0
banks,0.001563,0.0,0,0,,1,0
petit-kernel,0.001563,0.0,0,0,,1,0
pydata-sphinx-theme,0.001563,0.0,0,0,,1,0
runai-model-streamer-gcs,0.001563,0.0,0,0,,1,0
furl,0.001563,0.0,0,0,,1,0
fabric,0.001563,0.0,0,0,,1,0
litellm-enterprise,0.001563,0.0,0,0,,1,0
referencing,0.001563,0.0,0,0,,1,0
pynacl,0.001563,0.0,0,0,,1,0
sagemaker-experiments,0.001563,0.0,0,0,,1,0
langchain-xai,0.001563,0.0,0,0,,1,0
nanoarrow,0.001563,0.0,0,0,,1,0
sphinx-design,0.001563,0.0,0,0,,1,0
nvidia-cublas-cu12,0.001563,0.0,0,0,,1,0
litdata,0.001563,0.0,0,0,,1,0
nvidia-cusolver-cu12,0.001563,0.0,0,0,,1,0
runai-model-streamer,0.001563,0.0,0,0,,1,0
mlflow-jfrog-plugin,0.001563,0.0,0,0,,1,0
semantic-version,0.001563,0.0,0,0,,1,0
pytest-rich,0.001563,0.0,0,0,,1,0
lm-format-enforcer,0.001563,0.0,0,0,,1,0
deprecated,0.001563,0.0,0,0,,1,0
pyamg,0.001563,0.0,0,0,,1,0
fastsafetensors,0.001563,0.0,0,0,,1,0
xformers,0.001563,0.0,0,0,,1,0
smdebug-rulesconfig,0.001563,0.0,0,0,,1,0
azure-keyvault-secrets,0.001563,0.0,0,0,,1,0
threadpoolctl,0.001563,0.0,0,0,,1,0
ml-dtypes,0.001563,0.0,0,0,,1,0
semantic-router,0.001563,0.0,0,0,,1,0
nvidia-nvtx-cu12,0.001563,0.0,0,0,,1,0
pathlib2,0.001563,0.0,0,0,,1,0
ffmpy,0.001563,0.0,0,0,,1,0
llama-index-readers-file,0.001563,0.0,0,0,,1,0
kenlm,0.001563,0.0,0,0,,1,0
langchain-huggingface,0.001563,0.0,0,0,,1,0
aliyunstoreplugin,0.001563,0.0,0,0,,1,0
nvidia-curand-cu12,0.001563,0.0,0,0,,1,0
mistral-common,0.001563,0.0,0,0,,1,0
nvidia-cusparselt-cu12,0.001563,0.0,0,0,,1,0
outlines_core,0.001563,0.0,0,0,,1,0
hf_xet,0.001563,0.0,0,0,,1,0
libcst,0.001563,0.0,0,0,,1,0
phonemizer,0.001563,0.0,0,0,,1,0
namex,0.001563,0.0,0,0,,1,0
jaxlib,0.001563,0.0,0,0,,1,0
rhoknp,0.001563,0.0,0,0,,1,0
flask-wtf,0.001563,0.0,0,0,,1,0
sphinxcontrib-sass,0.001563,0.0,0,0,,1,0
mlserver,0.001563,0.0,0,0,,1,0
flax,0.001563,0.0,0,0,,1,0
google-cloud-kms,0.001563,0.0,0,0,,1,0
langchain-azure-ai,0.001563,0.0,0,0,,1,0
runai-model-streamer-s3,0.001563,0.0,0,0,,1,0
tensorizer,0.001563,0.0,0,0,,1,0
lightgbm,0.001481,0.0,0,0,,0,4
sglang,0.000741,0.0,0,0,,0,2
embedchain,0.00037,0.0,0,0,,0,1
langchain-text-splitters,0.0,0.0,0,0,,0,0
langgraph-checkpoint,0.0,0.0,0,0,,0,0
