package,cve,cwes,severity,first_affected_version,first_affected_date,disclosed_date,mitigation_version,mitigation_date,disclosure_lag_days,time_to_fix_from_first_days,time_to_fix_from_disclosure_days,fix_semver_type
dbt-core,CVE-2024-36105,,moderate,0,,2024-05-28,1.6.15,2024-05-22,,,-6.0,major
jupyter-core,CVE-2025-30167,,high,0,,2025-06-04,5.8.1,2025-05-27,,,-8.0,major
redshift-connector,CVE-2024-12745,,high,2.1.4,2024-11-21,2024-12-26,2.1.5,2024-12-24,35.0,33.0,-2.0,patch
redshift-connector,CVE-2025-5279,,high,2.0.872,2020-12-14,2025-05-28,2.1.7,2025-05-27,1626.0,1625.0,-1.0,minor
mcp,CVE-2025-53366,,high,0,,2025-07-04,1.9.4,2025-06-12,,,-22.0,major
mcp,CVE-2025-53365,,high,0,,2025-07-04,1.10.0,2025-06-26,,,-8.0,major
h2,CVE-2025-57804,,moderate,0,,2025-08-25,4.3.0,2025-08-23,,,-2.0,major
deepdiff,CVE-2025-58367,,critical,5.0.0,2020-06-23,2025-09-03,8.6.1,2025-09-03,1898.0,1898.0,0.0,major
pycryptodomex,CVE-2023-52323,,high,0,,2024-01-05,3.19.1,2023-12-28,,,-8.0,major
authlib,CVE-2024-37568,,high,0,,2024-06-09,1.3.1,2024-06-04,,,-5.0,major
authlib,CVE-2025-59420,,high,0,,2025-09-22,1.6.4,2025-09-17,,,-5.0,major
authlib,CVE-2025-62706,,moderate,0,,2025-10-10,1.6.5,2025-10-02,,,-8.0,major
authlib,CVE-2025-61920,,high,0,,2025-10-10,1.6.5,2025-10-02,,,-8.0,major
authlib,CVE-2024-37568,,unknown,0,,2024-06-09,1.3.1,2024-06-04,,,-5.0,major
mysql-connector-python,CVE-2024-21272,,high,0,,2024-10-15,9.1.0,2024-10-15,,,0.0,major
pg8000,CVE-2025-61385,,high,0,,2025-10-27,1.31.5,2025-09-14,,,-43.0,major
nltk,CVE-2024-39705,,high,0,,2024-06-28,,,,,,
nltk,CVE-2024-39705,,unknown,0,,2024-06-27,,,,,,
jupyter-server,CVE-2023-49080,,moderate,0,,2023-12-05,2.11.2,2023-12-04,,,-1.0,major
jupyter-server,CVE-2024-35178,,high,0,,2024-06-06,2.14.1,2024-05-31,,,-6.0,major
jupyterlab,CVE-2024-22421,,high,0,,2024-01-19,4.0.11,2024-01-19,,,0.0,major
jupyterlab,CVE-2024-22420,,moderate,4.0.0,2023-05-15,2024-01-19,4.0.11,2024-01-19,249.0,249.0,0.0,patch
jupyterlab,CVE-2024-43805,,high,0,,2024-08-29,3.6.8,2024-08-26,,,-3.0,major
jupyterlab,CVE-2025-59842,,low,0,,2025-09-26,4.4.8,2025-09-25,,,-1.0,major
litellm,CVE-2024-4888,,high,0,,2024-06-06,1.35.36,2024-05-02,,,-35.0,major
litellm,CVE-2024-2952,,critical,0,,2024-04-10,1.34.42,2024-04-11,,,1.0,major
litellm,CVE-2024-6825,,high,1.40.3.dev2,,2025-03-20,,,,,,
litellm,CVE-2024-4264,,high,0,,2024-05-18,,,,,,
litellm,CVE-2025-0330,,high,0,,2025-03-20,,,,,,
litellm,CVE-2024-4890,,moderate,0,,2024-06-06,,,,,,
litellm,CVE-2024-8984,,high,0,,2025-03-20,1.56.2,2024-12-27,,,-83.0,major
litellm,CVE-2025-0628,,high,0,,2025-03-20,1.61.15,2025-02-23,,,-25.0,major
litellm,CVE-2024-6587,,high,0,,2024-09-13,1.44.8,2024-08-28,,,-16.0,major
litellm,CVE-2024-9606,,high,0,,2025-03-20,1.44.12,2024-08-30,,,-202.0,major
litellm,CVE-2024-5751,,critical,0,,2024-06-27,1.40.16,2024-06-18,,,-9.0,major
litellm,CVE-2024-10188,,high,0,,2025-03-20,1.53.1.dev1,2024-12-03,,,-107.0,major
litellm,CVE-2024-5225,,moderate,0,,2024-06-06,1.40.0,2024-06-02,,,-4.0,major
litellm,CVE-2024-5710,,moderate,0,,2024-06-27,1.40.15,2024-06-16,,,-11.0,major
langchain-community,CVE-2024-2965,,moderate,0,,2024-06-06,0.2.5,2024-06-14,,,8.0,minor
langchain-community,CVE-2024-8309,,low,0.2.0,2024-05-17,2024-10-29,0.2.19,2024-11-12,165.0,179.0,14.0,patch
langchain-community,CVE-2024-5998,,high,0,,2024-09-17,0.2.4,2024-06-07,,,-102.0,minor
langchain-community,CVE-2025-2828,,high,0,,2025-06-23,0.0.28,2024-03-12,,,-468.0,patch
langchain-community,CVE-2025-6984,,high,0,,2025-09-04,0.3.27,2025-07-02,,,-64.0,minor
langchain-community,CVE-2024-3095,,moderate,0,,2024-06-06,0.2.9,2024-07-19,,,43.0,minor
weasyprint,CVE-2024-28184,,high,61.0,2024-02-12,2024-03-08,,,25.0,,,
apache-airflow-providers-common-sql,CVE-2025-30473,,high,0,,2025-04-07,1.24.1,2025-03-31,,,-7.0,major
ecdsa,CVE-2024-23342,,high,0,,2024-01-22,,,,,,
ray,CVE-2023-6021,,critical,0,,2023-11-16,2.8.1,2023-12-01,,,15.0,major
ray,CVE-2023-6020,,critical,0,,2023-11-16,2.8.1,2023-12-01,,,15.0,major
ray,CVE-2023-48022,,critical,0,,2023-11-28,,,,,,
ray,CVE-2023-6019,,critical,0,,2023-11-16,2.8.1,2023-12-01,,,15.0,major
ray,CVE-2025-1979,,moderate,0,,2025-03-06,2.43.0,2025-02-27,,,-7.0,major
ray,CVE-2025-1979,,unknown,0,,2025-03-06,2.43.0,2025-02-27,,,-7.0,major
opencv-python,,,high,0,,2024-08-30,4.8.1.78,2023-09-28,,,-337.0,major
langchain-text-splitters,CVE-2025-6985,,high,0,,2025-10-06,0.3.9,2025-07-24,,,-74.0,minor
jupyter-lsp,CVE-2024-22415,,high,0,,2024-01-18,2.2.2,2024-01-17,,,-1.0,major
django,CVE-2024-45230,,moderate,4.2,2023-04-03,2024-10-08,5.1.1,2024-09-03,554.0,519.0,-35.0,major
django,CVE-2025-57833,,high,0,,2025-09-08,4.2.24,2025-09-03,,,-5.0,major
django,CVE-2024-41990,,moderate,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2023-41164,,moderate,3.2,2021-04-06,2023-11-03,3.2.21,2023-09-04,941.0,881.0,-60.0,patch
django,CVE-2025-48432,,moderate,0,,2025-06-05,5.2.2,2025-06-04,,,-1.0,major
django,CVE-2024-53907,,moderate,4.2.0,,2024-12-06,5.1.4,2024-12-04,,,-2.0,major
django,CVE-2025-32873,,moderate,4.2,2023-04-03,2025-05-08,4.2.21,2025-05-07,766.0,765.0,-1.0,patch
django,CVE-2024-39330,,high,4.2,2023-04-03,2024-07-10,5.0.7,2024-07-09,464.0,463.0,-1.0,major
django,CVE-2024-39614,,high,4.2,2023-04-03,2024-07-10,5.0.7,2024-07-09,464.0,463.0,-1.0,major
django,CVE-2023-43665,,high,3.2a1,2021-01-19,2023-11-03,3.2.22,2023-10-04,1018.0,988.0,-30.0,patch
django,CVE-2025-59681,,high,4.2,2023-04-03,2025-10-01,4.2.25,2025-10-01,912.0,912.0,0.0,patch
django,CVE-2024-41989,,moderate,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2024-53908,,high,4.2.0,,2024-12-06,5.0.10,2024-12-04,,,-2.0,major
django,CVE-2025-26699,,moderate,4.2,2023-04-03,2025-03-06,4.2.20,2025-03-06,703.0,703.0,0.0,patch
django,CVE-2024-42005,,critical,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2025-59682,,low,4.2,2023-04-03,2025-10-01,4.2.25,2025-10-01,912.0,912.0,0.0,patch
django,CVE-2024-56374,,moderate,4.2,2023-04-03,2025-01-14,5.1.5,2025-01-14,652.0,652.0,0.0,major
django,CVE-2024-38875,,high,4.2,2023-04-03,2024-07-10,4.2.14,2024-07-09,464.0,463.0,-1.0,patch
django,CVE-2023-46695,,high,3.2a1,2021-01-19,2023-11-02,3.2.23,2023-11-01,1017.0,1016.0,-1.0,patch
django,CVE-2024-41991,,moderate,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2024-45231,,moderate,0,,2024-10-08,5.1.1,2024-09-03,,,-35.0,major
django,CVE-2024-27351,,moderate,3.2,2021-04-06,2024-03-15,3.2.25,2024-03-04,1074.0,1063.0,-11.0,patch
django,CVE-2025-27556,,moderate,5.0,2023-12-04,2025-04-02,5.0.14,2025-04-02,485.0,485.0,0.0,patch
django,CVE-2024-39329,,moderate,4.2,2023-04-03,2024-07-10,5.0.7,2024-07-09,464.0,463.0,-1.0,major
django,CVE-2024-24680,,high,3.2,2021-04-06,2024-02-07,3.2.24,2024-02-06,1037.0,1036.0,-1.0,patch
django,CVE-2023-46695,,unknown,3.2,2021-04-06,2023-11-02,3.2.23,2023-11-01,940.0,939.0,-1.0,patch
django,CVE-2023-41164,,unknown,3.2,2021-04-06,2023-11-03,3.2.21,2023-09-04,941.0,881.0,-60.0,patch
django,CVE-2023-43665,,unknown,3.2,2021-04-06,2023-11-03,3.2.22,2023-10-04,941.0,911.0,-30.0,patch
django,CVE-2024-45230,,unknown,4.2,2023-04-03,2024-10-08,5.1.1,2024-09-03,554.0,519.0,-35.0,major
django,CVE-2024-53907,,unknown,4.2,2023-04-03,2024-12-06,5.1.4,2024-12-04,613.0,611.0,-2.0,major
django,CVE-2024-53908,,unknown,4.2,2023-04-03,2024-12-06,5.1.4,2024-12-04,613.0,611.0,-2.0,major
django,CVE-2024-24680,,unknown,3.2,2021-04-06,2024-02-06,3.2.24,2024-02-06,1036.0,1036.0,0.0,patch
django,CVE-2024-27351,,unknown,3.2,2021-04-06,2024-03-15,3.2.25,2024-03-04,1074.0,1063.0,-11.0,patch
django,CVE-2024-38875,,unknown,4.2,2023-04-03,2024-07-10,4.2.14,2024-07-09,464.0,463.0,-1.0,patch
django,CVE-2024-39329,,unknown,4.2,2023-04-03,2024-07-10,5.0.7,2024-07-09,464.0,463.0,-1.0,major
django,CVE-2024-39330,,unknown,4.2,2023-04-03,2024-07-10,5.0.7,2024-07-09,464.0,463.0,-1.0,major
django,CVE-2024-39614,,unknown,4.2,2023-04-03,2024-07-10,5.0.7,2024-07-09,464.0,463.0,-1.0,major
django,CVE-2024-41989,,unknown,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2024-41990,,unknown,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2024-41991,,unknown,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2024-42005,,unknown,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2024-56374,,unknown,4.2,2023-04-03,2025-01-14,5.1.5,2025-01-14,652.0,652.0,0.0,major
django,CVE-2025-26699,,unknown,4.2,2023-04-03,2025-03-06,5.1.7,2025-03-06,703.0,703.0,0.0,major
django,CVE-2025-27556,,unknown,5.0,2023-12-04,2025-04-02,5.1.8,2025-04-02,485.0,485.0,0.0,minor
django,CVE-2025-32873,,unknown,4.2,2023-04-03,2025-05-08,4.2.21,2025-05-07,766.0,765.0,-1.0,patch
django,CVE-2025-48432,,unknown,4.2,2023-04-03,2025-06-05,5.2.2,2025-06-04,794.0,793.0,-1.0,major
flask-cors,CVE-2024-6866,,moderate,0,,2025-03-20,6.0.0,2025-05-17,,,58.0,major
flask-cors,CVE-2024-6839,,moderate,0,,2025-03-20,6.0.0,2025-05-17,,,58.0,major
flask-cors,CVE-2024-1681,,moderate,0,,2024-04-19,4.0.1,2024-05-04,,,15.0,major
flask-cors,CVE-2024-6844,,moderate,0,,2025-03-20,6.0.0,2025-05-17,,,58.0,major
flask-cors,CVE-2024-6221,,high,0,,2024-08-18,4.0.2,2024-08-30,,,12.0,major
sagemaker,CVE-2025-0508,,moderate,0,,2025-03-20,2.237.3,2025-01-09,,,-70.0,major
sagemaker,CVE-2024-34073,,high,0,,2024-05-03,2.214.3,2024-04-04,,,-29.0,major
sagemaker,CVE-2024-34072,,high,0,,2024-05-03,2.218.0,2024-05-01,,,-2.0,major
mlflow,CVE-2024-27133,,critical,0,,2024-02-24,2.10.0,2024-01-26,,,-29.0,major
mlflow,CVE-2024-37053,,high,1.1.0,2019-07-23,2024-06-04,,,1778.0,,,
mlflow,CVE-2025-0453,,moderate,0,,2025-03-20,,,,,,
mlflow,CVE-2023-6014,,critical,0,,2023-11-16,2.8.0,2023-10-29,,,-18.0,major
mlflow,CVE-2025-1474,,low,0,,2025-03-20,2.19.0,2024-12-11,,,-99.0,major
mlflow,CVE-2024-8859,,high,0,,2025-03-20,2.17.0rc0,2024-09-27,,,-174.0,major
mlflow,CVE-2023-6831,,critical,0,,2023-12-15,2.9.2,2023-12-14,,,-1.0,major
mlflow,CVE-2023-6974,,critical,0,,2023-12-20,2.9.2,2023-12-14,,,-6.0,major
mlflow,CVE-2025-11201,,high,0,,2025-10-29,3.0.0,2025-06-10,,,-141.0,major
mlflow,CVE-2024-1560,,high,0,,2024-04-16,,,,,,
mlflow,CVE-2023-6018,,critical,0,,2023-11-16,2.9.2,2023-12-14,,,28.0,major
mlflow,CVE-2024-0520,,critical,0,,2024-06-06,2.9.0,2023-12-06,,,-183.0,major
mlflow,CVE-2023-6909,,high,0,,2023-12-20,2.9.2,2023-12-14,,,-6.0,major
mlflow,CVE-2024-27132,,critical,0,,2024-02-24,2.10.0,2024-01-26,,,-29.0,major
mlflow,CVE-2025-11200,,high,0,,2025-10-29,2.22.0,2025-04-24,,,-188.0,major
mlflow,CVE-2024-37052,,high,1.1.0,2019-07-23,2024-06-04,,,1778.0,,,
mlflow,CVE-2024-37056,,high,1.23.0,2022-01-17,2024-06-04,,,869.0,,,
